Ref number,Carbon precursors,Sample name,Sbet (m2g-1),Vtotal (cm3g-1),Vmicro (cm3g-1),P (bar),T (K),C (%),O (%),N (%),Uptake (mmolg-1),DOI,Year,Title
4,Orange peel,AC-2-700,374.0,0.162,0.127,1.0,298.0,,,,1.72,https://doi.org/10.1002/slct.202506232Digital Object Identifier (DOI),2026,Porous Carbon Derived from Orange Peel: Characterization Analysis and Low-Concentration CO2 Capture Study
4,Orange peel,PAC-2-5-700,398.0,0.207,0.127,1.0,298.0,,,,1.97,https://doi.org/10.1002/slct.202506232Digital Object Identifier (DOI),2026,Porous Carbon Derived from Orange Peel: Characterization Analysis and Low-Concentration CO2 Capture Study
4,Orange peel,PAC-2-15-700,487.0,0.215,0.16,1.0,298.0,,,,2.49,https://doi.org/10.1002/slct.202506232Digital Object Identifier (DOI),2026,Porous Carbon Derived from Orange Peel: Characterization Analysis and Low-Concentration CO2 Capture Study
4,Orange peel,PAC-2-15-700,487.0,0.215,0.16,1.0,273.0,,,,4.18,https://doi.org/10.1002/slct.202506232Digital Object Identifier (DOI),2026,Porous Carbon Derived from Orange Peel: Characterization Analysis and Low-Concentration CO2 Capture Study
4,Orange peel,PAC-2-25-700,413.0,0.173,0.141,1.0,298.0,,,,2.23,https://doi.org/10.1002/slct.202506232Digital Object Identifier (DOI),2026,Porous Carbon Derived from Orange Peel: Characterization Analysis and Low-Concentration CO2 Capture Study
6,Lignin,BC-600-2,1169.0,0.91,0.23,1.0,298.0,65.82,22.66,0.17,3.07,https://doi.org/10.1016/j.energy.2026.140326,2026,Upgraded utilization of biochar after heavy metal (Ni) adsorption for CO2 capture
6,Lignin,Ni/BC-100-500,1299.0,0.87,0.31,1.0,298.0,66.39,14.54,0.26,3.91,https://doi.org/10.1016/j.energy.2026.140326,2026,Upgraded utilization of biochar after heavy metal (Ni) adsorption for CO2 capture
6,Lignin,Ni/BC-200-500,1434.0,0.85,0.42,1.0,298.0,68.11,13.38,0.17,4.49,https://doi.org/10.1016/j.energy.2026.140326,2026,Upgraded utilization of biochar after heavy metal (Ni) adsorption for CO2 capture
6,Lignin,Ni/BC-300-500,1407.0,0.84,0.4,1.0,298.0,67.64,12.39,0.16,4.18,https://doi.org/10.1016/j.energy.2026.140326,2026,Upgraded utilization of biochar after heavy metal (Ni) adsorption for CO2 capture
6,Lignin,Ni/BC-400-500,1376.0,0.81,0.37,1.0,298.0,69.24,12.16,0.38,3.96,https://doi.org/10.1016/j.energy.2026.140326,2026,Upgraded utilization of biochar after heavy metal (Ni) adsorption for CO2 capture
6,Lignin,Ni/BC-200-400,1232.0,0.72,0.38,1.0,298.0,67.59,14.69,0.26,3.73,https://doi.org/10.1016/j.energy.2026.140326,2026,Upgraded utilization of biochar after heavy metal (Ni) adsorption for CO2 capture
6,Lignin,Ni/BC-200-600,1406.0,1.02,0.3,1.0,298.0,70.12,8.59,0.18,3.83,https://doi.org/10.1016/j.energy.2026.140326,2026,Upgraded utilization of biochar after heavy metal (Ni) adsorption for CO2 capture
6,Lignin,Ni/BC-200-700,1350.0,1.13,0.2,1.0,298.0,75.39,4.93,0.12,2.76,https://doi.org/10.1016/j.energy.2026.140326,2026,Upgraded utilization of biochar after heavy metal (Ni) adsorption for CO2 capture
6,Lignin,Ni/Co/BC-400-500,1390.0,0.82,0.42,1.0,298.0,69.16,11.55,0.25,4.15,https://doi.org/10.1016/j.energy.2026.140326,2026,Upgraded utilization of biochar after heavy metal (Ni) adsorption for CO2 capture
